"","x"
"1",4.98094514172056
"2",1.21292193005196
"3",0.589053483624053
"4",27.9234725459183
"5",7.06026871864043
"6",2.74403815781337
"7",71.4517111482578
"8",28.2348708229657
"9",14.1222077646201
"10",18.0739210314662
"11",4.244060074972
"12",1.63690989187975
"13",34.5733825021398
